BRIN_NR;NAAM_INST;RAPPORTAGEMAAND;PERSOONSGEBONDENNUMMER;ACHTERNAAM;VOORVOEGSEL;ALLE_VOORNAMEN;WOONGEMEENTE;GEBOORTEDATUM;ONDERWIJSCODE;ONDERWIJSNAAM;LEERWEG;DATUM_UITSCHRIJVING;MELDING_VERZUIM_WETTELIJK;REDEN;BRIN;NAAM_INSTELLING;ONDERWIJSAANBIEDERCODE;NAAM_ONDERWIJSAANBIEDER;MELDING_VERZUIM_NIET_WETTELIJK;GEMEENTECODE;RMC_REGIO;REDEN_UITSTROOM;LOCATIECODE;ONDERWIJSLOCATIECODE;POSTCODE_ONDERWIJSLOCATIE;HUISNUMMER_ONDERWIJSLOCATIE;BRIN_VOLGNUMMER;NIVEAU;INSCHRIJVINGSVOLGNUMMER;STRAAT;HUISNUMMER;HUISLETTER;HUISNUMMER_TOEVOEGING;HUISNUMMER_AANDUIDING;ADRES_LOCATIE;POSTCODE;WOONPLAATS;VANAF_WANNEER
27GZ;ROC Mondriaan;202210;840945893;Middendorp;;Sanne Chloe;DELFT;01-12-2004;25622;Fashion;BOL;;J;;27GZ;ROC Mondriaan;100A195;International Hotel and Management School;N;491;REGIO 28;;;100X755;2612CA;6;;Mbo4 opleidingen;1;;21.0;;;;;2593XN;WARMOND;202210
27GZ;ROC Mondriaan;202210;985958241;Abdellaoui;;Nimeesha Altagracia;'S-GRAVENHAGE;04-09-2006;25226;Bedrijfsadministrateur;BOL;;J;;27GZ;ROC Mondriaan;100A188;School voor Technologie en Engineering;N;558;REGIO 28;;;100X750;2544ED;6;;Mbo4 opleidingen;2;Middenstede;92.0;;;;;2547EP;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;352968645;Mulder;;Anis;ALPHEN AAN DEN RIJN;06-07-2002;25705;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A182;School voor Bouw en Infra;N;552;REGIO 28;;;100X756;2544ED;1;;Mbo4 opleidingen;1;Goeverneurplein;12.0;;;;;2685AA;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;887835865;Borst;van;Megan Francis;KATWIJK;14-03-2004;25709;Bedrijfsadministrateur;BBL;;J;;27GZ;ROC Mondriaan;100A178;School voor Horeca & Facilitaire dienstverlening;N;499;REGIO 27;;;100X746;2512ER;6;;Mbo3 opleidingen;1;Molenstraat;111.0;;;;;2526LX;ZOETERMEER;202210
27GZ;ROC Mondriaan;202210;675683698;Lachman;;Djordy Joey;SCHIEDAM;01-02-2005;25662;Vavo Havo Nieuw Profiel Cultuur en Maatschappij;;;J;;27GZ;ROC Mondriaan;100A175;Beauty, Hair & Fashion;N;350;REGIO 28;;;100X753;2493WN;17;;Mbo3 opleidingen;2;Loolaan;361.0;;;;;2341KE;VOORBURG;202210
27GZ;ROC Mondriaan;202210;254418653;Bayram;El;Gabriela Alexandra Irena;PIJNACKER-NOOTDORP;11-03-2005;25320;Business support;BOL;;J;;27GZ;ROC Mondriaan;101A783;School voor Maatschappelijke zorg en Verzorgende;N;1732;REGIO 28;;;100X746;2521DB;8;;HAVO/VWO bovenbouw;1;Mijdrechtstraat;52.0;;;;;2532SZ;NOOTDORP;202210
27GZ;ROC Mondriaan;202210;801676967;Homan;;Jonathan Marius Johannes;'S-GRAVENHAGE;01-03-2001;25638;Sociaal werker;BBL;;J;;27GZ;ROC Mondriaan;100A190;School voor Gezondheidszorg Den Haag;N;496;REGIO 28;;;100X758;2593AN;6;;Mbo4 opleidingen;1;Alferbos;200.0;;;;;2572VB;WASSENAAR;202210
27GZ;ROC Mondriaan;202210;670894373;Bom;van 't;Walid;'S-GRAVENHAGE;09-12-2003;25789;Logistiek supervisor;;;J;;27GZ;ROC Mondriaan;100A172;School voor Retail en Logistiek Delft;N;1776;REGIO 28;;;100X753;2612CA;47;;Mbo4 opleidingen;1;Leliestraat;16.0;;;;;3193XE;KATWIJK ZH;202210
27GZ;ROC Mondriaan;202210;474744702;Chen;;Valérie Aimée;'S-GRAVENHAGE;07-07-2004;25287;Technisch Specialist Personenauto's;EX;;J;;27GZ;ROC Mondriaan;100A192;School voor Zorg en Welzijn Den Haag;N;578;REGIO 28;;;100X746;2627BK;46;;Mbo3 opleidingen;3;Koolwitjelaan;464.0;;;;;2496NW;HEILIG LANDSTICHTING;202210
27GZ;ROC Mondriaan;202210;227575689;Groenewegen;;Ryan;MIDDEN-DELFLAND;21-01-2003;25770;Assistent horeca, voeding of voedingsindustrie;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Horeca & Facilitaire dienstverlening;N;499;REGIO 28;;;100X758;2595GA;16;;Mbo4 opleidingen;1;Laan van Nieuw Oosteinde;14.0;;;;;2401JS;;202210
27GZ;ROC Mondriaan;202211;814894410;Demir;;Aleyna Arife;'S-GRAVENHAGE;13-09-2001;25310;Mbo- Verpleegkunde;BBL;;J;;27GZ;ROC Mondriaan;100A172;School voor Business support;N;484;REGIO 28;;;100X746;2493WN;7;;Mbo4 opleidingen;1;Vrederustlaan;486.0;;;;;2716GM;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;944365856;Teeling;;Lola;'S-GRAVENHAGE;22-11-2005;25227;Mbo-Verpleegkundige;BOL;;J;;27GZ;ROC Mondriaan;100A191;School voor Zorg en Welzijn Den Haag;N;581;REGIO 28;;;100X755;2493WN;7;;Mbo4 opleidingen;1;Cartesiusstraat;107.0;;;;;2526PM;BERGEN OP ZOOM;202211
27GZ;ROC Mondriaan;202211;739417318;Grootveld;;Sweja Hélène;'S-GRAVENHAGE;26-08-2005;25244;Verzorgende-IG;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor Zorg en Welzijn Delft;N;1678;REGIO 28;;;100X747;2493WN;6;;Mbo4 opleidingen;1;Mary Zeldenrustweg;289.0;;;;;2545DP;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;344347709;Korving;van;Sidney;'S-GRAVENHAGE;17-09-2003;25280;Business support;;;J;;27GZ;ROC Mondriaan;101A783;School voor Horeca & Facilitaire dienstverlening;N;574;REGIO 28;;;100X758;2595GA;8;;Mbo2 opleidingen;1;Prins Mauritslaan;158.0;A;;;;2544HS;NOOTDORP;202211
27GZ;ROC Mondriaan;202211;659938218;Öztürk;van;Alec;RIJSWIJK;10-12-2004;25308;Financieel administratief medewerker;BBL;;J;;27GZ;ROC Mondriaan;100A189;School voor Maatschappelijke zorg en Verzorgende;N;1761;REGIO 28;;;100X757;2544ED;130;;Mbo4 opleidingen;3;Westzijdeweg;27.0;;;22;;2525SZ;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;275137579;Ali;;Lavanya Devi Farideh Zohra;LEIDSCHENDAM-VOORBURG;10-08-2000;25668;Assistent dienstverlening;BOL;;J;;27GZ;ROC Mondriaan;100A190;School voor Lifestyle, Sport en Bewegen;N;506;REGIO 18;;;100X757;2612CA;15;;Mbo2 opleidingen;2;Abel Tasmankade;33.0;;;;;3628EV;NAALDWIJK;202211
27GZ;ROC Mondriaan;202211;480668640;Zeeland;;Feie Elius;DELFT;28-08-2003;25322;Vavo Havo Zonder Profiel;;;J;;27GZ;ROC Mondriaan;100A177;School voor Zorg en Welzijn Delft;N;500;REGIO 28;;;100X758;2521DB;9;;Mbo4 opleidingen;A2;Korenmaat;938.0;;;;;2625TB;LEIDSCHENDAM;202211
27GZ;ROC Mondriaan;202211;473538913;Lamkhizni;;Jim;ROTTERDAM;18-07-2004;25704;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A191;School voor Economie Delft;N;498;REGIO 30;;;100X758;2672ZX;13;;HAVO/VWO bovenbouw;1;Multatulistraat;121.0;;;;;2292BB;MAASDIJK;202211
27GZ;ROC Mondriaan;202211;906944502;Treebusch;;Esmee Alida Julia;'S-GRAVENHAGE;10-06-2003;25272;Technicus elektrotechnische installaties woning en utiliteit;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Lifestyle, Sport en Bewegen;N;1748;REGIO 27;;;111X981;2493WN;49;;Mbo4 opleidingen;A2;Damasstraat;14.0;;;;;2685TJ;BLEISWIJK;202211
27GZ;ROC Mondriaan;202211;816021275;Giersbergen;Van der;Kimberly Elly;HAARLEM;17-01-2004;25587;Assistent metaal-, elektro- en installatietechniek;BOL;;J;;27GZ;ROC Mondriaan;100A191;International Hotel and Management School;N;507;REGIO 26;;;100X747;2628AL;72;;Mbo3 opleidingen;2;Breukelensestraat;25.0;;;;;2241TM;DELFGAUW;202211
27GZ;ROC Mondriaan;202211;813227480;Korving;;Nurselin;DELFT;15-08-2004;25302;Technicus engineering;BOL;;J;;27GZ;ROC Mondriaan;101A783;School voor Economie en Juridische beroepen;N;1687;REGIO 28;;;100X752;2491BE;6;;Mbo4 opleidingen;2;Vulcanusweg;96.0;;;;;3142LP;;202211
27GZ;ROC Mondriaan;202211;928710419;Ramsaran;;Joey Corné;'S-GRAVENHAGE;29-05-2002;25137;Technicus engineering;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Zorg en Welzijn Delft;N;603;REGIO 26;;;100X750;2493WN;314;;Mbo4 opleidingen;1;Van Almondestraat;113.0;;;;;2548WB;VOORBURG;202211
27GZ;ROC Mondriaan;202211;804748798;Veldhuizen;;Julia;DELFT;19-11-2004;25760;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A173;School voor Autotechniek en Mobiliteit;N;482;REGIO 28;;;111X981;2612CA;7;;Mbo4 opleidingen;1;Het Zicht;17.0;;;;;2515VC;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;739799306;Lieshout;van;Anouk Martina;'S-GRAVENHAGE;08-03-2005;25112;Assistent dienstverlening;BOL;;J;;27GZ;ROC Mondriaan;101A729;VAVO Haaglanden;N;1786;REGIO 28;;;100X750;2493WN;1;;HAVO/VWO bovenbouw;1;Bloemendaalselaan;93.0;;;;;2591VV;;202211
27GZ;ROC Mondriaan;202211;271205898;Benali;;Chirine;'S-GRAVENHAGE;12-01-2006;25692;Assistent logistiek;BOL;;J;;27GZ;ROC Mondriaan;100A190;School voor Economie en Juridische beroepen;N;1712;REGIO 28;;;100X753;2612CA;1;;Mbo3 opleidingen;1;Schoutendreef;268.0;;;;;2492RC;VOORBURG;202211
27GZ;ROC Mondriaan;202211;882119087;Blaauw;;Dina;'S-GRAVENHAGE;08-11-2003;25207;Technicus engineering;BOL;;J;;27GZ;ROC Mondriaan;100A196;School voor Pedagogische en Sociale beroepen;N;1716;REGIO 28;;;100X746;2493WN;7;;Mbo4 opleidingen;1;Faberlaan;381.0;;;;;2266KL;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;138407468;Heuvel;;Evi;'S-GRAVENHAGE;08-11-2001;25207;IT systems and devices;BOL;;J;;27GZ;ROC Mondriaan;100A190;School voor Zorg en Welzijn Leiden;N;1743;REGIO 26;;;100X750;2521DB;7;;HAVO/VWO bovenbouw;3;Kruisstraat;112.0;;;;;2545KE;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;830288160;Bulut;van der;Mark Wouter;'S-GRAVENHAGE;23-01-2003;25582;Mbo- Verpleegkunde;BBL;;J;;27GZ;ROC Mondriaan;100A192;School voor Entreeopleidingen;N;507;REGIO 27;;;100X755;2521DB;7;;HAVO/VWO bovenbouw;1;Windlusthof;65.0;;;;;2517VZ;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;975670599;Sewgobind;van der;Manar;'S-GRAVENHAGE;22-11-2002;25510;Pedagogisch medewerker kinderopvang;;;J;;27GZ;ROC Mondriaan;100A173;School voor Economie en Juridische beroepen;N;503;REGIO 25;;;100X746;2595GA;7;;Mbo4 opleidingen;1;Molenstraat;141.0;;;;;2583BX;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;396428326;Visser;van;Bibi;ZUIDPLAS;30-07-2006;25657;Medewerker marketing en communicatie;BBL;;J;;27GZ;ROC Mondriaan;100A188;School voor Economie Delft;N;1780;REGIO 26;;;111X981;2612CA;9;;Mbo4 opleidingen;1;Smellekenhorst;23.0;;;;;2273RB;DE LIER;202211
27GZ;ROC Mondriaan;202211;699177213;Baksi;;Carsten Pepijn;LANSINGERLAND;14-11-2002;25253;Allround technicus voertuigen en mobiele werktuigen;BBL;;J;;27GZ;ROC Mondriaan;100A187;School voor Zorg en Welzijn Leiden;N;1644;REGIO 28;;;100X753;2612CA;8;;HAVO/VWO bovenbouw;1;Hoflandendreef;20.0;K;;;;2371NR;AMSTELVEEN;202211
27GZ;ROC Mondriaan;202211;669873125;Georgiev;;Qusai;'S-GRAVENHAGE;20-08-2003;25288;Mbo- Verpleegkunde;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Autotechniek en Mobiliteit;N;485;REGIO 28;;;100X753;2544ED;6;;Mbo4 opleidingen;1;Teniersplantsoen;13.0;;;;;2221VA;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;764099657;Özdemir;;Omar;VLAARDINGEN;22-06-2006;25290;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Orde & Veiligheid;N;561;REGIO 28;;;100X746;2544ED;7;;Mbo4 opleidingen;1;Marktweg;22.0;;;;;2545KC;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;989581986;Ketz;;Kwabena Karikari-Affodour;'S-GRAVENHAGE;08-06-2004;25252;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Autotechniek en Mobiliteit;N;123;REGIO 28;;;100X753;2493WN;7;;Mbo3 opleidingen;A1;Reghthuysplein;202.0;;;;;2521RZ;VOORBURG;202211
27GZ;ROC Mondriaan;202211;674710808;Öztürk;;Vinnie;RIJSWIJK;03-10-2002;25542;Medewerker fastservice;BBL;;J;;27GZ;ROC Mondriaan;100A198;School voor ICT;N;1765;REGIO 28;;;111X981;2544ED;1;;HAVO/VWO bovenbouw;1;Merelweg;24.0;;;;;2591TE;ZOETERMEER;202211
27GZ;ROC Mondriaan;202211;859505805;Bresser;Ter;Yasin;'S-GRAVENHAGE;18-04-2003;25297;Apothekersassistent;;;J;;27GZ;ROC Mondriaan;100A190;School voor Business support;N;1584;REGIO 27;;;100X756;2612CA;48;;Mbo4 opleidingen;2;Gravin Jacobastraat;122.0;;;;;3124CP;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;613149745;Zwan;;Thijs;'S-GRAVENHAGE;07-12-2005;25637;Persoonlijk begeleider specifieke doelgroepen;BOL;;J;;27GZ;ROC Mondriaan;101A729;School voor Zorg en Welzijn Delft;N;478;REGIO 28;;;100X747;2493WN;5;;Mbo3 opleidingen;1;Hongarenburg;30.0;;;;;2492TS;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;545072441;Veurman;;Jazlyn Katlyn Mayryn;'S-GRAVENHAGE;17-01-2004;25359;Schoonheidsverzorging;BOL;;J;;27GZ;ROC Mondriaan;100A198;International Hotel and Management School;N;563;REGIO 28;;;100X747;2612CA;68;;Mbo4 opleidingen;1;Romeijnstraat;153.0;;;;;2171EX;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;225505729;Jami;;Milan Jasper;'S-GRAVENHAGE;08-01-2000;25288;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A182;School voor Entreeopleidingen;N;1704;REGIO 29;;;100X746;2512ER;7;;Mbo2 opleidingen;2;Broekslootkade;110.0;;;;;2645LS;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;733255287;Mol;;Lenny;'S-GRAVENHAGE;12-11-2005;25373;Mbo-Verpleegkundige;BOL;;J;;27GZ;ROC Mondriaan;101A729;School voor Bouw en Infra;N;482;REGIO 28;;;100X758;2512ER;5;;Mbo3 opleidingen;1;Tahiti;24.0;;;;;2493AG;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;880063350;Uittenbogaard;van;Sherona Gherina Ly-Ann;ZOETERMEER;27-10-2003;25764;Monteur elektrotechnische installaties;BOL;;J;;27GZ;ROC Mondriaan;100A198;School voor Zorg en Welzijn Den Haag;N;1761;REGIO 28;;;100X749;2493WN;17;;Mbo4 opleidingen;1;Copernicusstraat;18.0;A;;1;;2513VX;Haastrecht;202211
27GZ;ROC Mondriaan;202211;564526287;Jaime Altamiranda;;Ashitosh Rahul;PIJNACKER-NOOTDORP;28-02-2003;23241;Aankomend medewerker grondoptreden;BBL;;J;;27GZ;ROC Mondriaan;100A172;School voor Metaal-, Elektro- en installatietechniek;N;597;REGIO 26;;;100X747;2493WN;48;;Mbo1 opleidingen;2;Zwaluwlaan;60.0;A;;;;2496HG;HEERHUGOWAARD;202211
27GZ;ROC Mondriaan;202211;251716815;Kuiper;;Mohamed;ZOETERMEER;29-12-2004;25251;Sport en Bewegen;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Pedagogische en Sociale beroepen;N;1729;REGIO 28;;;100X749;2595GA;69;;Mbo3 opleidingen;1;Cyclaamstraat;46.0;;;;;2526GM;;202211
27GZ;ROC Mondriaan;202211;676167125;Alsemgeest;van;Daimy Melody;KATWIJK;23-04-2004;25671;Vavo Atheneum Zonder Profiel;BOL;;J;;27GZ;ROC Mondriaan;100A178;School voor Autotechniek en Mobiliteit;N;1708;REGIO 28;;;100X753;2544ED;6;;Mbo3 opleidingen;1;Stevinstraat;23.0;H;;;;2273AM;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;951688146;Khan;de;Darshan Roshano Vinesh;'S-GRAVENHAGE;29-09-2006;25380;Schoonheidsverzorging;BBL;;J;;27GZ;ROC Mondriaan;101A729;School voor Zorg en Welzijn Delft;N;495;REGIO 28;;;100X753;2493WN;6;;Mbo2 opleidingen;1;Vasariruimte;466.0;;;;;2225RM;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;387648368;Adiam Kubrom Bizen;;Basma;'S-GRAVENHAGE;29-04-2006;25356;Pedagogisch medewerker kinderopvang;BOL;;J;;27GZ;ROC Mondriaan;100A195;VAVO Haaglanden;N;1360;REGIO 28;;;100X746;2493WN;5;;Mbo4 opleidingen;1;Kepplerstraat;14.0;;;;;2531AP;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;719958145;Jhinkoe-Rai;;Qusai;ZOETERMEER;09-12-2003;25549;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;101A729;VAVO Haaglanden;N;1708;REGIO 28;;;100X755;2595GA;1;;Mbo3 opleidingen;4;Jan Kistenstraat;;;;;;2592CD;'S-GRAVENHAGE;202211
27GZ;ROC Mondriaan;202211;866376786;Baryagabr;;Hilary;'S-GRAVENHAGE;01-01-2002;25617;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Pedagogische en Sociale beroepen;N;578;REGIO 41;;;100X757;2493WN;7;;Mbo4 opleidingen;2;Trapveld;453.0;;;;;2496MB;;202211
