BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
123456699;0;20050704;V;KK;;KK;3030;13;Achterhoek;197;Aalten;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 2;Bbl2;25774;Logistiek medewerker;100A352;Techniek & Informatica;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456690;132435465;20051127;V;LL;van;LL;0000;13;Achterhoek;222;Doetinchem;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25162;Manager retail;100A689;Economie & Dienstverlening;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456681;0;20060123;V;MM;;MM;3131;13;Achterhoek;1859;Berkelland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 3;Bol3;25491;Verzorgende IG;100A354;Zorg, Welzijn & Sport;101X360;Schralenstein;2;;7141ED;Groenlo
123456672;0;20051129;V;NN;;NN;3232;13;Achterhoek;1586;Oost Gelre;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bbl4;25697;Gespecialiseerd pedagogisch medewerker;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456663;0;20060727;M;OO;;OO;2211;13;Achterhoek;221;Doesburg;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25138;Bedrijfsadministrateur;100A689;Economie & Dienstverlening;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456654;0;20020105;M;PP;;PP;3333;13;Achterhoek;1955;Montferland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 3;Bbl3;25244;Eerste Autotechnicus;100A352;Techniek & Informatica;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456645;0;20041103;M;QQ;;QQ;4444;12;Twente;1700;Twenterand;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 2;Bbl2;25273;Monteur laagspanningsdistributie;100A352;Techniek & Informatica;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456636;0;20041006;V;RR;van;RR;3333;13;Achterhoek;1509;Oude IJsselstreek;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 3;Bbl3;25656;Verzorgende-IG;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456627;0;20040910;V;SS;;SS;1212;13;Achterhoek;1955;Montferland;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25478;Persoonlijk begeleider specifieke doelgroepen;100A354;Zorg, Welzijn & Sport;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456618;0;20051018;M;TT;van;TT;2323;41;Arnhem;299;Zevenaar;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;26006;Middenkaderfunctionaris smart industry;100A352;Techniek & Informatica;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
123456609;0;20021023;V;UU;;UU;0000;13;Achterhoek;222;Doetinchem;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;25608;Facilitair leidinggevende;100A689;Economie & Dienstverlening;101X350;Maria Montessoristraat;3;;7008CA;Doetinchem
123456600;0;20030201;M;VV;;VV;1414;11;Stedendriehoek;301;Zutphen;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 4;Bol4;23163;Sport en Bewegen;100A354;Zorg, Welzijn & Sport;101X328;Sportweg;3;;7006GJ;Doetinchem
123456591;0;20030226;M;XX;;XX;2211;41;Arnhem;299;Zevenaar;24ZZ;0;Regionaal Opleidingen Centrum Graafschap College;Mbo niveau 3;Bbl3;25244;Eerste Autotechnicus;100A352;Techniek & Informatica;100X927;J F Kennedylaan;49;;7001EA;Doetinchem
