BRIN_NR;NAAM_INST;RAPPORTAGEMAAND;PERSOONSGEBONDENNUMMER;ACHTERNAAM;VOORVOEGSEL;ALLE_VOORNAMEN;WOONGEMEENTE;GEBOORTEDATUM;ONDERWIJSCODE;ONDERWIJSNAAM;LEERWEG;DATUM_UITSCHRIJVING;MELDING_VERZUIM_WETTELIJK;REDEN;BRIN;NAAM_INSTELLING;ONDERWIJSAANBIEDERCODE;NAAM_ONDERWIJSAANBIEDER;MELDING_VERZUIM_NIET_WETTELIJK;GEMEENTECODE;RMC_REGIO;REDEN_UITSTROOM;LOCATIECODE;ONDERWIJSLOCATIECODE;POSTCODE_ONDERWIJSLOCATIE;HUISNUMMER_ONDERWIJSLOCATIE;BRIN_VOLGNUMMER;NIVEAU;INSCHRIJVINGSVOLGNUMMER;STRAAT;HUISNUMMER;HUISLETTER;HUISNUMMER_TOEVOEGING;HUISNUMMER_AANDUIDING;ADRES_LOCATIE;POSTCODE;WOONPLAATS;VANAF_WANNEER
27GZ;ROC Mondriaan;202210;840945893;Middendorp;;Sanne Chloe;DELFT;01-12-2004;25622;Fashion;BOL;;J;;27GZ;ROC Mondriaan;100A195;International Hotel and Management School;N;491;REGIO 28;;;100X755;2612CA;6;;Mbo4 opleidingen;1;;21.0;;;;;2593XN;WARMOND;202210
27GZ;ROC Mondriaan;202210;985958241;Abdellaoui;;Nimeesha Altagracia;'S-GRAVENHAGE;04-09-2006;25226;Bedrijfsadministrateur;BOL;;J;;27GZ;ROC Mondriaan;100A188;School voor Technologie en Engineering;N;558;REGIO 28;;;100X750;2544ED;6;;Mbo4 opleidingen;2;Middenstede;92.0;;;;;2547EP;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;352968645;Mulder;;Anis;ALPHEN AAN DEN RIJN;06-07-2002;25705;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A182;School voor Bouw en Infra;N;552;REGIO 28;;;100X756;2544ED;1;;Mbo4 opleidingen;1;Goeverneurplein;12.0;;;;;2685AA;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;887835865;Borst;van;Megan Francis;KATWIJK;14-03-2004;25709;Bedrijfsadministrateur;BBL;;J;;27GZ;ROC Mondriaan;100A178;School voor Horeca & Facilitaire dienstverlening;N;499;REGIO 27;;;100X746;2512ER;6;;Mbo3 opleidingen;1;Molenstraat;111.0;;;;;2526LX;ZOETERMEER;202210
27GZ;ROC Mondriaan;202210;675683698;Lachman;;Djordy Joey;SCHIEDAM;01-02-2005;25662;Vavo Havo Nieuw Profiel Cultuur en Maatschappij;;;J;;27GZ;ROC Mondriaan;100A175;Beauty, Hair & Fashion;N;350;REGIO 28;;;100X753;2493WN;17;;Mbo3 opleidingen;2;Loolaan;361.0;;;;;2341KE;VOORBURG;202210
27GZ;ROC Mondriaan;202210;254418653;Bayram;El;Gabriela Alexandra Irena;PIJNACKER-NOOTDORP;11-03-2005;25320;Business support;BOL;;J;;27GZ;ROC Mondriaan;101A783;School voor Maatschappelijke zorg en Verzorgende;N;1732;REGIO 28;;;100X746;2521DB;8;;HAVO/VWO bovenbouw;1;Mijdrechtstraat;52.0;;;;;2532SZ;NOOTDORP;202210
27GZ;ROC Mondriaan;202210;801676967;Homan;;Jonathan Marius Johannes;'S-GRAVENHAGE;01-03-2001;25638;Sociaal werker;BBL;;J;;27GZ;ROC Mondriaan;100A190;School voor Gezondheidszorg Den Haag;N;496;REGIO 28;;;100X758;2593AN;6;;Mbo4 opleidingen;1;Alferbos;200.0;;;;;2572VB;WASSENAAR;202210
27GZ;ROC Mondriaan;202210;670894373;Bom;van 't;Walid;'S-GRAVENHAGE;09-12-2003;25789;Logistiek supervisor;;;J;;27GZ;ROC Mondriaan;100A172;School voor Retail en Logistiek Delft;N;1776;REGIO 28;;;100X753;2612CA;47;;Mbo4 opleidingen;1;Leliestraat;16.0;;;;;3193XE;KATWIJK ZH;202210
27GZ;ROC Mondriaan;202210;474744702;Chen;;Valérie Aimée;'S-GRAVENHAGE;07-07-2004;25287;Technisch Specialist Personenauto's;EX;;J;;27GZ;ROC Mondriaan;100A192;School voor Zorg en Welzijn Den Haag;N;578;REGIO 28;;;100X746;2627BK;46;;Mbo3 opleidingen;3;Koolwitjelaan;464.0;;;;;2496NW;HEILIG LANDSTICHTING;202210
27GZ;ROC Mondriaan;202210;227575689;Groenewegen;;Ryan;MIDDEN-DELFLAND;21-01-2003;25770;Assistent horeca, voeding of voedingsindustrie;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Horeca & Facilitaire dienstverlening;N;499;REGIO 28;;;100X758;2595GA;16;;Mbo4 opleidingen;1;Laan van Nieuw Oosteinde;14.0;;;;;2401JS;;202210
