#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
761823247;761823247;11-03-2005;M;Elzakkers;;Bram;2573;REGIO 28;;493;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25748;Logistiek medewerker;100A191;School voor Gezondheidszorg Den Haag;;Buenos Aireshof;397.0;;2573VZ;ZOETERMEER
170819604;170819604;29-09-2006;M;Hoffmans;de;Çiğdem;2547;REGIO 28;;503;DELFT;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;6912;Begeleider specifieke doelgroepen;100A196;International Hotel and Management School;;Reiderland;112.0;;2547KG;ZOETERMEER
736362522;736362522;06-10-2004;M;Kruijs;;Vincent;2295;REGIO 28;;1737;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25655;Retailmanager;100A189;School voor Zorg en Welzijn Leiden;;Valkenburgerweg;102.0;;2295MD;'S-GRAVENHAGE
728006682;728006682;07-02-2000;V;Şahin;;Ismaïl;2401;REGIO 28;;1712;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25262;Begeleider specifieke doelgroepen;100A179;School voor Zorg en Welzijn Den Haag;;Westerlookade;167.0;;2401LG;NOOTDORP
410320922;410320922;18-02-2004;V;Butt;;Elif Nur;2685;REGIO 19;;229;WESTLAND;27GZ;27GZ;;Mbo3 opleidingen;BOL;23266;Leidinggevende team/afdeling/project;101A783;School voor Toerisme en Recreatie;;Middenstede;110.0;;2685RL;ZOETERMEER
490831901;490831901;27-10-2005;V;Martis;;Joanne;2516;REGIO 28;;571;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25637;Sport- en bewegingsleider;100A172;School voor Horeca & Facilitaire dienstverlening;;Gravin Jacobastraat;24.0;;2516SK;RIJSWIJK ZH
154992670;154992670;21-10-2003;M;Elkhider;van der;Ciarán Hendrik;2631;REGIO 26;;505;KATWIJK;27GZ;27GZ;;Mbo3 opleidingen;BOL;25214;Gastheer/-vrouw;100A189;School voor Economie Delft;;Uitterlier;24.0;;2631BT;Leidschendam
953384994;953384994;23-11-2005;M;Peters;van der;Omar;2266;REGIO 28;;496;DIJK EN WAARD;27GZ;27GZ;;Mbo4 opleidingen;BOL;25339;Beveiliger 2;100A178;School voor Zorg en Welzijn Leiden;;Secr Varkevisserstraat;226.0;;2266EK;DELFT
349798438;349798438;06-09-2005;V;Heijden;;Richie Joshua Orlando;2562;REGIO 24;;1794;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25517;Manager/ondernemer horeca;100A178;School voor Autotechniek en Mobiliteit;;President Kennedylaan;155.0;;2562LK;'s-Gravenhage
280035367;280035367;24-10-2004;V;Cui;;Tushar Quinton Jityã;2266;REGIO 28;;34;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25577;Doktersassistent;100A190;School voor Entreeopleidingen;;Leidseweg;31.0;;2266AG;WATERINGEN
819462187;819462187;12-04-2006;M;Adach;;Amro Galal Bukhari;2675;REGIO 28;;1764;WOERDEN;27GZ;27GZ;;Mbo2 opleidingen;BOL;25310;VAVO-MAVO Theoretische leerweg zonder profiel;100A177;School voor Lifestyle, Sport en Bewegen;;Medemblikstraat;95.0;;2675RB;RIJNSBURG
914554924;914554924;24-05-2006;M;Fars;van;Shannon;2543;REGIO 36;;1777;BLOEMENDAAL;27GZ;27GZ;;Mbo2 opleidingen;BBL;25702;Schoonheidsverzorging;100A174;VAVO Haaglanden;;Parklaan;23.0;;2543GR;Koudekerk aan den Rijn
714080303;714080303;26-02-2004;M;Delgado;;Winay;2691;REGIO 28;;1778;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25688;Medewerker (financiële) administratie;100A195;School voor Business support;;Koekamp;114.0;;2691LP;NAALDWIJK
595623984;595623984;24-10-2004;V;Aydin;;Lisa Sophie;2553;REGIO 28;;508;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;;23139;Meewerkend horeca ondernemer;100A196;School voor Zorg en Welzijn Den Haag;;Troubadourshof;247.0;;2553JN;ZOETERMEER
374865970;374865970;23-03-2001;M;Nafawa;;Enes;2531;REGIO 28;;1542;LELYSTAD;27GZ;27GZ;;Mbo4 opleidingen;BOL;25664;Monteur mechatronica;100A187;International Hotel and Management School;;Librijesteeg;125.0;;2531AR;DELFT
146898994;146898994;12-07-2001;V;Sengir;van;Shraddha Ishani;2532;REGIO 28;;496;DELFT;27GZ;27GZ;;Mbo3 opleidingen;BOL;25737;Manager/ondernemer horeca;100A179;VAVO Haaglanden;;Eisenhowerlaan;23.0;;2532BH;VLAARDINGEN
569475124;569475124;20-08-2005;M;Krook;van;Qusai;3024;REGIO 28;;1710;DELFT;27GZ;27GZ;;Mbo4 opleidingen;BOL;25160;Aankomend onderofficier grondoptreden;101A783;School voor Economie en Juridische beroepen;;Bubonastraat;19.0;;3024AB;'S-GRAVENHAGE
238354488;238354488;07-08-2000;M;Yilmaz;;Dean Paul;2516;REGIO 28;;1714;'S-GRAVENHAGE;27GZ;27GZ;;Mbo1 opleidingen;BOL;25825;Specialist mode/maatkleding;100A188;School voor Metaal-, Elektro- en installatietechniek;;Den Helderstraat;479.0;;2516TG;NOOTDORP
803766329;803766329;09-11-2004;M;Bogaard;;Indy;;REGIO 29;;497;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;5281;Doktersassistent;100A191;VAVO Haaglanden;;Escamplaan;103.0;;;DELFT
710836286;710836286;10-10-2004;V;Krook;;Nadine Aimée;2628;REGIO 28;;502;ZAANSTAD;27GZ;27GZ;;Mbo4 opleidingen;BOL;25670;Apothekersassistent;101A729;Beauty, Hair & Fashion;;Stevinstraat;232.0;;2628RX;HONSELERSDIJK
159088703;159088703;01-01-2003;V;Huijser;;Jim;;REGIO 28;;574;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25531;Juridisch-administratief dienstverlener;100A172;School voor Pedagogische en Sociale beroepen;;Hoefkade;24.0;;;'S-GRAVENHAGE
334659648;334659648;28-06-2003;M;l'Ecluse;van der;Soumia;2493;REGIO 29;;503;TILBURG;27GZ;27GZ;;Mbo2 opleidingen;BOL;5558;Vavo Havo voorexamenklas;100A198;School voor Retail en Logistiek Delft;;Weteringdreef;866.0;;2493WJ;'s-Gravenzande
748912706;748912706;23-03-2004;M;Martha;;Imrane;3151;REGIO 28;;502;HELLEVOETSLUIS;27GZ;27GZ;;Mbo1 opleidingen;BBL;25729;Leidinggevende travel & hospitality;101A783;School voor Economie en Juridische beroepen;;Endezant;124.0;;3151TK;VLAARDINGEN
349110339;349110339;16-07-2002;M;Ali;;Batuhan;2729;REGIO 28;;1685;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25728;Vavo Atheneum Nieuw Profiel Economie en Maatschappij;101A783;School voor Economie en Juridische beroepen;;Hooikamp;51.0;;2729AA;ROTTERDAM
181305416;181305416;13-10-2005;V;Pronk;;Martijn;3022;REGIO 28;;488;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25454;Sociaal werker;100A187;VAVO Haaglanden;;Jan van Rodestraat;25.0;;3022XL;'S-GRAVENHAGE
100270153;100270153;29-09-2005;M;Lachmipersad;;Ruben;2264;REGIO 28;;584;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25279;Mbo- Verpleegkunde;100A191;School voor Maatschappelijke zorg en Verzorgende;;Terpmeent;56.0;;2264LB;ALPHEN AAN DEN RIJN
583303244;583303244;01-01-2005;V;Klink;;Marouane;2515;REGIO 28;;1681;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo3 opleidingen;BOL;25546;Maatschappelijke Zorg;100A177;International Hotel and Management School;;;20.0;;2515BM;'S-GRAVENHAGE
138149965;138149965;27-12-2001;V;Bulut;;Benjamin Salomon;3141;REGIO 28;;1692;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25257;Fashion;100A190;School voor Metaal-, Elektro- en installatietechniek;;De Vlashoven;18.0;;3141JE;WATERINGEN
504102988;504102988;27-11-2000;V;Naqvi;van;Jayne Zahwa;2496;REGIO 34;;1599;VOORSCHOTEN;27GZ;27GZ;;Mbo4 opleidingen;BOL;25288;Monteur elektrotechnische installaties;100A198;School voor Zorg en Welzijn Westland;;Uithofslaan;41.0;;2496SV;EINDHOVEN
205652045;205652045;27-08-2003;M;Petit;van;Gijs Marcus;2523;REGIO 28;;503;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25649;Helpende Zorg en Welzijn;100A172;School voor Business support;;Polsbroekstraat;;;2523CP;'S-GRAVENHAGE
820478032;820478032;19-06-2003;M;Çapar;;Chaima;2271;REGIO 28;;506;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;23291;Verkoper;100A173;School voor Horeca & Facilitaire dienstverlening;;'s-Gravenzandelaan;26.0;;2271BL;'S-GRAVENHAGE
151388240;151388240;24-09-2002;V;Osman;;Amine;2542;REGIO 28;;503;KATWIJK;27GZ;27GZ;;Mbo3 opleidingen;BOL;25354;Pedagogisch medewerker kinderopvang;100A198;School voor Maatschappelijke zorg en Verzorgende;;Niek Engelschmanpark;23.0;;2542BK;ZOETERMEER
761659472;761659472;07-04-2000;M;Dijk;Di;Mika;2511;REGIO 28;;1814;BEVERWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25375;Mbo- Verpleegkunde;100A188;School voor Economie en Juridische beroepen;;Mui;150.0;;2511BV;'S-GRAVENHAGE
510427221;510427221;24-04-2005;M;Duijndam;;Beau;2572;REGIO 28;;490;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;;25277;Vavo Havo Zonder Profiel;100A173;VAVO Haaglanden;;;18.0;;2572CE;
263127128;263127128;22-09-2005;M;Walt;;Julia;2548;REGIO 26;;582;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25138;Medewerker (financiële) administratie;100A178;International Hotel and Management School;;Neherkade;206.0;;2548WH;RIJSWIJK ZH
874283103;874283103;19-09-2005;V;Aden;;Gwen Anna;2225;REGIO 29;;1815;HOEKSCHE WAARD;27GZ;27GZ;;Mbo2 opleidingen;EX;23144;Onderwijsassistent;100A179;School voor Economie en Juridische beroepen;;Osbornezijde;512.0;;2225RE;ZUID-BEIJERLAND
637108322;637108322;12-04-2005;V;Hülters;;Lars;2693;REGIO 28;;1738;ALPHEN AAN DEN RIJN;27GZ;27GZ;;Mbo4 opleidingen;BOL;25252;Begeleider maatschappelijke zorg;100A182;School voor Zorg en Welzijn Westland;;Papsouwselaan;29.0;;2693AK;WATERINGEN
188383331;188383331;24-09-2002;V;Rekik;;Liselotte Fay;;REGIO 28;;1715;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25738;Beveiliger 2;100A198;School voor Orde & Veiligheid;;Lepelaarstraat;13.0;;;BOSKOOP
440074343;440074343;09-02-2003;M;Jansen;;Mike Jeroen Jacobus;2565;REGIO 28;;573;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25259;Marketing & Communication Specialist;100A198;School voor Maatschappelijke zorg en Verzorgende;;Kepplerstraat;159.0;;2565PZ;'S-GRAVENHAGE
455573611;455573611;26-07-2005;V;Heijden;;Noa;2572;REGIO 28;;485;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25329;Mbo- Verpleegkunde;100A189;School voor Orde & Veiligheid;;;113.0;;2572EL;'S-GRAVENHAGE
506822763;506822763;20-01-2005;V;Groeneveld;van den;Dana Hendrika;2631;REGIO 10;;598;KAAG EN BRAASSEM;27GZ;27GZ;;HAVO/VWO bovenbouw;BBL;25152;Timmerman;101A729;BAS;;Hof van Rijnsburg;114.0;;2631MG;HAZERSWOUDE-DORP
261259375;261259375;17-02-2003;V;Arensman;;Isabel;2542;REGIO 29;;496;PIJNACKER-NOOTDORP;27GZ;27GZ;;Mbo4 opleidingen;BOL;25732;Zelfstandig werkend gastheer/-vrouw;100A173;School voor Technologie en Engineering;;Steenzicht;143.0;;2542VK;RIJSWIJK ZH
460095605;460095605;20-01-2001;M;Pols;;Naomi;2572;REGIO 28;;1792;DELFT;27GZ;27GZ;;Mbo3 opleidingen;BOL;5935;Assistent metaal-, elektro- en installatietechniek;100A198;VAVO Haaglanden;;De la Reyweg;19.0;;2572EC;'S-GRAVENHAGE
670695543;670695543;14-04-2004;V;Zaenuddin;;Edmond-Douglas Opare Danquah;2719;REGIO 27;;1686;LEIDERDORP;27GZ;27GZ;;Mbo4 opleidingen;BOL;25431;Verzorgende-IG;100A196;VAVO Haaglanden;;Noorderbeekstraat;28.0;;2719CH;ZOETERMEER
555745400;555745400;24-11-2005;V;Iliza;;Tygo Benico;2614;REGIO 28;;558;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25687;Mbo- Verpleegkunde;100A196;School voor Retail en Logistiek Delft;;Kraijenhoffstraat;20.0;;2614WJ;NOORDWIJKERHOUT
839319674;839319674;01-12-2003;M;Graaff;;Anothai;2565;REGIO 28;;561;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25694;Vavo Havo-Nieuw-Profiel-Natuur en Techniek;100A172;School voor Autotechniek en Mobiliteit;;Burg van der Werffstraat;113.0;;2565WH;RIJSWIJK ZH
105676923;105676923;06-06-2003;M;Moorman;;Charnello;2624;REGIO 40;;608;GOUDA;27GZ;27GZ;;Mbo2 opleidingen;BOL;6007;Allround technicus voertuigen en mobiele werktuigen;100A174;School voor Lifestyle, Sport en Bewegen;;Sartrezijde;266.0;;2624NJ;MIDDELBURG
860651646;860651646;05-05-2003;V;Zemari;;Fayadh;2295;REGIO 26;;402;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;5308;Allround vakkracht onderhoud- en klussenbedrijf;100A179;School voor Lifestyle, Sport en Bewegen;;Jacob Catsstraat;19.0;;2295NN;HONSELERSDIJK
858325121;858325121;21-09-2004;V;Korte;;Fatih;2498;REGIO 28;;489;ROTTERDAM;27GZ;27GZ;;Mbo3 opleidingen;BOL;25678;Handhaver toezicht en veiligheid;100A179;VAVO Haaglanden;;Multatuliweg;;;2498AR;'S-GRAVENHAGE
322109570;322109570;21-03-2004;M;Wensink;;Ricardo;2614;REGIO 28;;1470;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25622;Vavo Havo voorexamenklas;100A181;School voor Economie Delft;;Wildenborghstraat;94.0;;2614GL;'S-GRAVENHAGE
534118534;534118534;20-04-2000;M;Victor;;Bram;3147;REGIO 28;;503;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;23322;Mbo-Verpleegkundige;100A179;School voor Pedagogische en Sociale beroepen;;Lange Wantijkade;14.0;;3147PL;RIJSWIJK ZH
974749834;974749834;07-02-2002;V;Raaf;;Harim;2551;REGIO 28;;493;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25226;Sociaal werker;100A198;School voor Technologie en Engineering;;'t Hert;23.0;;2551ST;ZOETERMEER
893190282;893190282;13-04-2006;V;Derna;;Milan;2515;REGIO 26;;494;HELLEVOETSLUIS;27GZ;27GZ;;Mbo4 opleidingen;BOL;25248;Servicemedewerker gebouwen;100A172;School voor Economie en Juridische beroepen;;Netscherstraat;5.0;;2515KE;NOOTDORP
168657037;168657037;04-06-2005;V;Whieskie;;Ahmet;2548;REGIO 28;;1768;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25226;Apothekersassistent;100A184;School voor Zorg en Welzijn Den Haag;;Blériotlaan;26.0;;2548TZ;POELDIJK
265683086;265683086;16-09-2004;V;Stroom;;Hannah;2641;REGIO 28;;498;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25233;Leidinggevende travel & hospitality;101A729;School voor Zorg en Welzijn Delft;;Tasmanstraat;901.0;;2641XN;'S-GRAVENHAGE
631767183;631767183;07-06-2003;V;Doomen;;Eldriyon Emeric;2622;REGIO 28;;603;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;EX;25240;Fashion Designer;100A188;School voor Horeca & Facilitaire dienstverlening;;Vieveenland;491.0;;2622EE;HAZERSWOUDE-DORP
923697294;923697294;16-03-2005;M;Hmidouch;van;Zahra;2625;REGIO 28;;1703;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25167;Medewerker sport en recreatie;100A184;VAVO Haaglanden;;Salomonszegel;104.0;;2625BH;'S-GRAVENHAGE
869335186;869335186;09-01-2004;M;Gravenberch;;Joshua Miguel;2548;REGIO 28;;1387;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25277;Sport- en bewegingsleider;101A729;School voor Retail en Logistiek Delft;;Koningstraat;192.0;;2548JK;DELFT
880509079;880509079;13-10-2006;V;Huijser;;Bo;2263;REGIO 28;;482;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25262;Timmerman;100A180;School voor Zorg en Welzijn Delft;;Wingerd;146.0;;2263AD;'S-GRAVENHAGE
393183385;393183385;06-01-2000;M;Pijkeren;El;Nikki;2551;REGIO 26;;503;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25683;Medewerker sport en recreatie;100A177;School voor Orde & Veiligheid;;Merendonk;19.0;;2551NK;OEGSTGEEST
469762203;469762203;21-01-2004;V;Zakaria;;Najla;2643;REGIO 28;;1729;DELFT;27GZ;27GZ;;Mbo3 opleidingen;BOL;25564;Assistent horeca, voeding of voedingsindustrie;100A191;Beauty, Hair & Fashion;;Bagijnenwaard;16.0;;2643HP;'S-GRAVENHAGE
896467102;896467102;22-06-2006;M;Balk;;Aleyna;2632;REGIO 26;;290;ROOSENDAAL;27GZ;27GZ;;Mbo3 opleidingen;BOL;25583;Gezel schilder;100A184;School voor Business support;;Abdis Swaneldestraat;427.0;;2632EN;RIJSWIJK ZH
729284769;729284769;08-09-2004;V;Schinkel;;Sanu Keshaf Yashwardan;;REGIO 28;;1722;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25285;Persoonlijk begeleider specifieke doelgroepen;100A186;School voor Autotechniek en Mobiliteit;;Ipenrodeplantsoen;135.0;;;'S-GRAVENHAGE
208339108;208339108;03-02-2003;V;Duijn;;Juliano;2286;REGIO 28;;1750;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25218;Manager retail;100A191;School voor Gezondheidszorg Den Haag;;De Rik;514.0;;2286JG;'S-GRAVENHAGE
910295207;910295207;14-06-2004;M;Lamtalsi;de;Tristan;2728;REGIO 29;;558;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25301;Mbo- Verpleegkunde;100A181;International Hotel and Management School;;Van den Berghstraat;131.0;;2728NZ;RIJSWIJK ZH
311001258;311001258;11-07-2004;M;Kaynak;;Jayden Ashton;2635;REGIO 28;;1711;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo4 opleidingen;BBL;25121;Legal, Insurance & HR Services Specialist;100A190;School voor Metaal-, Elektro- en installatietechniek;;Claude Debussystraat;34.0;;2635GN;RIJSWIJK ZH
185729197;185729197;05-07-2003;V;Madrati;van der;Gwen Anna;2496;REGIO 26;;1753;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25623;Verkoper;100A179;School voor ICT;;De Gaarde;244.0;;2496LT;'S-GRAVENHAGE
145227950;145227950;02-07-2000;M;Trojan;;Nadine Maria Jolien;3124;REGIO 28;;1692;ALMERE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25193;Vavo Atheneum Zonder Profiel;100A191;School voor Lifestyle, Sport en Bewegen;;Loevesteinlaan;479.0;;3124RB;BERGSCHENHOEK
917766321;917766321;26-08-2004;V;Ulaş;;Caner;2544;REGIO 28;;540;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25453;Junior stylist;100A181;School voor Autotechniek en Mobiliteit;;Hertenrade;23.0;;2544KB;'S-GRAVENHAGE
401539249;401539249;22-01-2003;M;Eijnden;;Nikki;2512;REGIO 28;;1713;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25260;Retailmedewerker;100A184;School voor ICT;;Schuitenweg;;;2512HR;RIJSWIJK ZH
435323062;435323062;15-10-2001;M;Yaşar;;Leen;;REGIO 29;;562;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25605;Assistent horeca, voeding of voedingsindustrie;101A729;School voor Technologie en Engineering;;Herculesweg;123.0;;;GOUDA
188678329;188678329;31-10-2000;V;Romijn;;Angel Gabriel;2728;REGIO 28;;604;NOORDWIJK;27GZ;27GZ;;Mbo3 opleidingen;BBL;25286;Onderwijsassistent;100A190;School voor ICT;;Binnenzijde;448.0;;2728JD;ZOETERMEER
408092858;408092858;06-03-2006;V;Neyt;;Mitchell;2531;REGIO 26;;491;WESTLAND;27GZ;27GZ;;Mbo3 opleidingen;BBL;25574;Pedagogisch medewerker kinderopvang;100A173;School voor Technologie en Engineering;;Xaverystraat;18.0;;2531XC;DE LIER
780435643;780435643;26-07-2005;M;Groen;van;Nick;2221;REGIO 28;;488;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25587;Retailspecialist;100A196;School voor Zorg en Welzijn Westland;;Aart van der Leeuwlaan;43.0;;2221KW;'S-GRAVENHAGE
143065275;143065275;26-03-2006;M;Velzen;;Lucas;2225;REGIO 28;;494;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25748;Mbo- Verpleegkunde;100A177;School voor Economie Delft;;Fruitlaan;150.0;;2225ZE;'S-GRAVENHAGE
506560703;506560703;01-10-2004;V;Faeles;;Abdulai Gibril;2545;REGIO 28;;484;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo4 opleidingen;BOL;25420;Assistent dienstverlening;100A191;School voor Zorg en Welzijn Delft;;New Yorksingel;226.0;;2545KZ;KATWIJK ZH
268665024;268665024;09-04-2003;M;Ejjandi;;Marijah;2321;REGIO 27;;585;TEYLINGEN;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25257;Technisch specialist voertuigen en mobiele werktuigen;100A187;School voor Orde & Veiligheid;;Hendrick de Keyserweg;272.0;;2321EZ;WADDINXVEEN
821821633;821821633;14-01-2003;M;Vliet;El;Saja;2713;REGIO 32;;498;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BOL;25206;Onderwijsassistent;100A195;School voor Lifestyle, Sport en Bewegen;;Leyweg;144.0;;2713XA;NOOTDORP
190021826;190021826;21-05-2005;M;Massing;El;Melany Astrid;2573;REGIO 28;;1688;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25371;Manager retail;100A196;School voor Pedagogische en Sociale beroepen;;Mr. Bruntstraat;19.0;;2573ZG;BERKEL EN RODENRIJS
