#BRIN;NAAM_INSTELLING;RAPPORTAGE_MAAND;BSN_ONDERWIJSNR;VOORNAMEN;VOORVOEGSEL;ACHTERNAAM;WOONGEMEENTE;GEBOORTEDATUM;ILT/CREBO;ILT/CREBO_OMS;LEERWEG;BRIN_NR;NAAM_INST;ONDERWIJSAANBIEDERCODE;ONDERWIJSAANBIEDER_NAAM;GEMCODE;RMC_REGIO;LOCATIECODE;ONDERWIJSLOCATIECODE;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_HUISNUMMER;BRIN_VOLGNR;NIVEAU;INSCHR_VLGNR;STRAAT;HUISNUMMER;HUISLETTER;HUISNR_AAND;HUISNR_TOEV;ADRES_LOCATIE;POSTCODE;WOONPLAATS;INDICATIE_STARTKWALIFICATIE
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456699;KK;;KK;OLDEBROEK;7/4/05;25769;Monteur laagspanningsdistributie;BBL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A352;Techniek & Informatica;269;REGIO 17;;102X690;7061GA;12;;Mbo2 opleidingen;1;KK;9;;;;;XXXX30;OLDEBROEK;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456690;LL;van;LL;DOETINCHEM;11/27/05;25647;Leidinggevende travel & hospitality;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A689;Economie & Dienstverlening;222;REGIO 13;;101X350;7008CA;3;;Mbo4 opleidingen;2;LL;10;;;;;0000AA;DOETINCHEM;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456681;MM;;MM;MONTFERLAND;1/23/06;25606;Expert IT systems and devices;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A352;Techniek & Informatica;1955;REGIO 13;;100X927;7001EA;49;;Mbo4 opleidingen;1;MM;11;;;;;XXXX31;BEEK GEM MONTFERLAND;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456672;NN;;NN;RHEDEN;11/29/05;25744;"Assistent metaal-; elektro- en installatietechniek";BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A355;Educatie & Participatie;275;REGIO 41;;101X361;7001HG;2;;Mbo1 opleidingen;1;NN;12;;;;;XXXX32;RHEDEN;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456663;OO;;OO;DOESBURG;7/27/06;25894;Medewerker productietechniek;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A352;Techniek & Informatica;221;REGIO 13;;100X927;7001EA;49;;Mbo2 opleidingen;1;OO;13;;;;;2211BB;DOESBURG;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456654;PP;;PP;DUIVEN;1/5/02;25415;Sport- en bewegingsleider;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";226;REGIO 41;;101X328;7006GJ;3;;Mbo3 opleidingen;1;PP;14;;;;;3333CC;DUIVEN;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456645;QQ;;QQ;ZEVENAAR;11/3/04;25615;Sociaal werker;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";299;REGIO 41;;101X328;7006GJ;3;;Mbo4 opleidingen;1;QQ;5;;;;;4444DD;ZEVENAAR;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456636;RR;van;RR;DUIVEN;10/6/04;25412;Co̦rdinator sport- en bewegingsagogie;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";226;REGIO 41;;101X328;7006GJ;3;;Mbo4 opleidingen;1;RR;6;;;;;3333CC;DUIVEN;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456627;SS;;SS;AALTEN;9/10/04;25655;Mbo- Verpleegkunde;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";197;REGIO 13;;100X927;7001EA;49;;Mbo4 opleidingen;1;SS;6;;;;;XXXX22;AALTEN;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456618;TT;van;TT;BERKELLAND;10/18/05;25958;Sociaal werker;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";1859;REGIO 13;;101X328;7006GJ;3;;Mbo4 opleidingen;2;TT;7;;;;;XXXX23;RUURLO;J
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456609;UU;;UU;DOETINCHEM;10/23/02;25961;Medewerker sport en recreatie;BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A355;Educatie & Participatie;222;REGIO 13;;114X413;7001EB;2;;Mbo2 opleidingen;2;UU;8;;;;;0000AA;DOETINCHEM;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456600;VV;;VV;ARNHEM;2/1/03;25413;"Co̦rdinator sport; bewegen en gezondheid";BOL;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A354;"Zorg; Welzijn & Sport";202;REGIO 41;;101X328;7006GJ;3;;Mbo4 opleidingen;1;VV;9;;9;;;XXXX24;ARNHEM;N
24ZZ;Regionaal Opleidingen Centrum Graafschap College;202411;123456591;XX;;XX;DOESBURG;3/26/03;5321;Vavo Havo Zonder Profiel;;24ZZ;Regionaal Opleidingen Centrum Graafschap College;100A355;Educatie & Participatie;221;REGIO 13;;101X361;7001HG;2;;HAVO/VWO bovenbouw;A2;XX;9;;;;;2211BB;DOESBURG;N
