#BURGERSERVICENUMMER;ONDERWIJSNUMMER;GEBOORTEDATUM;GESLACHT;ACHTERNAAM;VOORVOEGSEL;VOORNAMEN;POSTCODE_CIJFERS;RMC_REGIO;RMC_REGIO_NAAM;GEMCODE;GEMEENTENAAM;BRIN;BRIN_VOLGNR;BRIN_VEST_NAAM;NIVEAU;ONDERWIJSSOORT;CREBO;CREBO_OMSCHRIJVING;EXAMEN;IND_BEKOSTIGING;ONDERWIJSAANBIEDER_CODE;ONDERWIJSAANBIEDER_NAAM;ONDERWIJSLOCATIE_CODE;ONDERWIJSLOCATIE_STRAATNAAM;ONDERWIJSLOCATIE_HUISNUMMER;ONDERWIJSLOCATIE_HUISNUMMER_TOEVOEGING;ONDERWIJSLOCATIE_POSTCODE;ONDERWIJSLOCATIE_PLAATSNAAM
750635206;750635206;26-09-2001;M;Rashid;;Nicky;2533;REGIO 28;;1691;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25347;Manager/ondernemer horeca;;;100A181;VAVO Haaglanden;;Jan de Oudeweg;103.0;;2533KJ;'S-GRAVENHAGE
770217142;770217142;22-07-2002;V;Scholten;van der;Renske Suzanne;2531;REGIO 26;;1751;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;23179;Kok;;;100A191;School voor Gezondheidszorg Den Haag;;Niek Engelschmanpark;651.0;;2531JC;DELFT
530988476;530988476;06-07-2004;V;Jeu;;Shiwin Arwin Nirmal Vedprakash;;REGIO 28;;488;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25551;Onderwijsassistent;;;100A184;School voor Zorg en Welzijn Leiden;;Soestdijksekade;25.0;;;
199731114;199731114;07-01-2003;V;Brandhorst;El;Rosalie;2525;REGIO 28;;500;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25264;Mbo- Verpleegkunde;;;100A189;School voor Entreeopleidingen;;Tempelberg;203.0;;2525HA;STOLWIJK
911076867;911076867;16-05-2002;V;Boon;;Laura Maria Petronella;2572;REGIO 28;;497;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25290;Kapper;;;100A173;School voor Zorg en Welzijn Den Haag;;Leliestraat;19.0;;2572WX;BERKEL EN RODENRIJS
303692183;303692183;11-01-2005;M;Schaap;;Senna;2225;REGIO 28;;491;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25775;Medewerker secretariaat en receptie;;;100A187;School voor Lifestyle, Sport en Bewegen;;Bubonastraat;257.0;;2225SL;'S-GRAVENHAGE
253488050;253488050;01-10-2002;M;Meijndert;;Julia Anna;2651;REGIO 28;;501;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BBL;25684;Onderwijsassistent;;;100A181;VAVO Haaglanden;;Geysterenweg;1.0;;2651PR;'S-GRAVENHAGE
399855599;399855599;12-01-2004;M;Polat;;Soufiane;2572;REGIO 28;;1711;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25705;Mbo- Verpleegkunde;;;100A196;School voor Gezondheidszorg Den Haag;;Veenwortel;17.0;;2572VZ;'S-GRAVENHAGE
885861822;885861822;17-11-2000;V;Assane;;Jochem Harmen;2498;REGIO 28;;497;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25678;Sport- en bewegingsleider;;;100A179;School voor Pedagogische en Sociale beroepen;;Prins Mauritsstraat;29.0;;2498CK;BLEISWIJK
540639845;540639845;11-05-2001;V;Bruijn;van;Banjarat;2716;REGIO 26;;499;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25188;Kok;;;100A192;School voor Pedagogische en Sociale beroepen;;Kamperfoeliestraat;122.0;;2716PW;'S-GRAVENHAGE
898416270;898416270;06-09-2005;M;Reijnders;;Samantha;2728;REGIO 28;;1711;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;23238;Gespecialiseerd pedagogisch medewerker;;;100A190;VAVO Haaglanden;;J.H.A. Schaperlaan;54.0;;2728AN;'S-GRAVENHAGE
952449406;952449406;01-05-2005;M;Akrouh;de;Nour-eddine;2525;REGIO 28;;1809;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BOL;25751;Leidinggevende leisure & hospitality;;;100A191;School voor ICT;;Huis te Landelaan;21.0;;2525XB;HEERHUGOWAARD
265195225;265195225;17-07-2001;V;Nas;van;Joshua Miguel;3203;REGIO 29;;506;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;23237;Allround Kapper;;;101A783;School voor Lifestyle, Sport en Bewegen;;Steenzicht;215.0;;3203XL;Naaldwijk
908438144;908438144;14-07-2004;V;Waasdorp;van de;Hussein;2552;REGIO 29;;584;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BBL;25777;Persoonlijk begeleider specifieke doelgroepen;;;101A783;School voor Horeca & Facilitaire dienstverlening;;De Constant Rebecquestr;28.0;;2552MG;ZOETERMEER
419985857;419985857;10-06-2004;V;Doomen;;Gaevin Damon;2273;REGIO 28;;1669;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25310;Bedrijfsadministrateur;;;100A173;School voor Gezondheidszorg Den Haag;;Hackfortstraat;25.0;;2273AT;'S-GRAVENHAGE
253887041;253887041;22-09-2003;M;Graaff;;Sunali Mahima;2532;REGIO 28;;484;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25610;Technicus elektrotechnische installaties woning en utiliteit;;;100A187;School voor Zorg en Welzijn Leiden;;Aagje Dekenlaan;22.0;;2532TZ;'S-GRAVENHAGE
146651395;146651395;16-01-2004;M;Tolud;;Lars Adrianus Johannes;2631;REGIO 28;;1693;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25741;Software developer;;;100A174;School voor Economie en Juridische beroepen;;Hoenderparklaan;133.0;;2631LE;ZOETERMEER
828616618;828616618;25-06-2001;V;Berrakouane;in 't;Nikita;2292;REGIO 41;;1807;GOUDA;27GZ;27GZ;;Mbo4 opleidingen;;25249;Coördinator buurt, onderwijs en sport;;;101A729;School voor Business support;;Nunspeetlaan;130.0;;2292AM;SCHIPLUIDEN
562681288;562681288;10-07-2001;V;Çelik;;Mohammed Arfani Shiraaz Ibrahiem Rashied;2281;REGIO 28;;1730;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25232;Mbo- Verpleegkunde;;;101A729;School voor Lifestyle, Sport en Bewegen;;Veenzoom;37.0;;2281BZ;'S-GRAVENHAGE
308274823;308274823;24-09-2003;M;Bree;;Sterre Charlotte;2555;REGIO 28;;1747;'S-GRAVENHAGE;27GZ;27GZ;;VMBO bovenbouw;BBL;25387;Onderwijsassistent;;;100A174;School voor Horeca & Facilitaire dienstverlening;;Dieverstraat;174.0;;2555RS;Leiderdorp
938861647;938861647;03-04-2005;V;Beerenfenger;de la;Jan;2624;REGIO 28;;513;LEIDSCHENDAM-VOORBURG;27GZ;27GZ;;Mbo4 opleidingen;BOL;25446;Mbo- Verpleegkunde;;;100A172;School voor Economie Delft;;Z.H.B.-hoven;146.0;;2624RK;ZOETERWOUDE
328559527;328559527;06-06-2005;V;Haas;;Dominique;2715;REGIO 28;;1651;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25210;Software developer;;;100A181;VAVO Haaglanden;;Sytwinde;102.0;;2715AK;'S-GRAVENHAGE
199395355;199395355;14-03-2004;V;Schaap;;Nova;2286;REGIO 28;;489;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25713;Allround Hospitality Medewerker;;;100A172;Beauty, Hair & Fashion;;De la Reyweg;95.0;;2286SW;'S-GRAVENHAGE
354488479;354488479;15-12-2002;M;Mambre;van;Ciarán Hendrik;2512;REGIO 29;;1828;KATWIJK;27GZ;27GZ;;HAVO/VWO bovenbouw;BOL;25741;Vavo Havo-Nieuw-Profiel-Natuur en Techniek;;;100A174;VAVO Haaglanden;;Baltimorehof;263.0;;2512RP;WATERINGEN
350919132;350919132;27-09-2000;M;Spa;El;Furkan Mehmet;2545;REGIO 26;;500;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25620;Leidinggevende leisure & hospitality;;;100A187;International Hotel and Management School;;Gasthuislaan;126.0;;2545VG;ZOETERMEER
814366870;814366870;16-09-2002;V;Jamal;de;Nobel;4464;REGIO 28;;1787;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BBL;25208;Assistant Business Services;;;100A180;Beauty, Hair & Fashion;;Kepplerstraat;19.0;;4464JA;'S-GRAVENHAGE
877987166;877987166;25-10-2004;V;Hammouchi;;Fabiënne;2583;REGIO 28;;1729;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25386;Onderwijsassistent;;;100A177;VAVO Haaglanden;;Gevers Deynootweg;153.0;;2583XX;'S-GRAVENHAGE
393724210;393724210;29-03-2004;V;Badri;;Rawan;2295;REGIO 29;;493;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25318;Assistent logistiek;;;100A190;VAVO Haaglanden;;Houttuinen;22.0;;2295RK;'S-GRAVENHAGE
821002616;821002616;09-09-2005;V;Kaynak;;Furkan;2273;REGIO 28;;579;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25638;Juridisch-administratief dienstverlener;;;100A198;School voor Zorg en Welzijn Den Haag;;Generaal Berenschotlaan;62.0;;2273JN;'S-GRAVENHAGE
895429355;895429355;09-07-2001;V;Zabielski;van;Shifanie;2221;REGIO 28;;569;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;;5333;Leidinggevende international hospitality;;;100A186;School voor Entreeopleidingen;;Heliotroop;21.0;;2221JP;'S-GRAVENHAGE
849132820;849132820;05-02-2004;M;Baak;van;Bahae Din;3141;REGIO 28;;488;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25728;Agogisch medewerker GGZ;;;100A196;School voor Economie en Juridische beroepen;;Reinier de Graafweg;376.0;;3141XV;
979774419;979774419;25-09-2003;M;Toet;;Ayyoub;2212;REGIO 28;;498;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25634;Monteur werktuigkundige installaties;;;100A177;School voor Zorg en Welzijn Den Haag;;Frans Halsstraat;11.0;;2212TC;'S-GRAVENZANDE
619286883;619286883;15-09-2004;M;Dekker;De;Sander Fabian;2526;REGIO 28;;605;'S-GRAVENHAGE;27GZ;27GZ;;HAVO/VWO bovenbouw;EX;23117;Mbo- Verpleegkunde;;;100A180;School voor Economie en Juridische beroepen;;Reinier de Graafweg;48.0;;2526VW;'S-GRAVENZANDE
956644679;956644679;11-12-2004;M;Yıldırım;den;Roshan Anish;2715;REGIO 28;;587;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BBL;25747;Manager retail;;;101A783;International Hotel and Management School;;Herschelstraat;392.0;;2715XJ;DELFT
125007463;125007463;03-06-2002;M;Buys;;Levi;;REGIO 28;;1704;HILLEGOM;27GZ;27GZ;;Mbo4 opleidingen;BBL;25177;Business Administration & Control Specialist;;;100A177;School voor Toerisme en Recreatie;;Wormerveerstraat;23.0;;;'S-GRAVENHAGE
856466706;856466706;07-12-2005;V;Vrolijk;van;Nikolett;2525;REGIO 28;;498;RIJSWIJK;27GZ;27GZ;;Mbo3 opleidingen;BOL;25313;Assistent dienstverlening en zorg;;;100A198;School voor Orde & Veiligheid;;Gerberastraat;246.0;;2525ZC;'S-GRAVENHAGE
193848452;193848452;11-09-2005;V;Reedijk;;Chris William;3034;REGIO 28;;489;ROTTERDAM;27GZ;27GZ;;Mbo4 opleidingen;BOL;25689;Vavo Atheneum Zonder Profiel;;;100A174;VAVO Haaglanden;;Grovestinsstraat;270.0;;3034EW;'S-GRAVENHAGE
229083953;229083953;15-03-2004;M;Dijkhuizen;van;Rachel;2522;REGIO 28;;510;RIJSWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25786;Allround Schoonheidsspecialist;;;100A187;School voor Maatschappelijke zorg en Verzorgende;;Klein Koningshof;1442.0;;2522WB;DEN HOORN ZH
823678251;823678251;18-01-2005;M;Made;;Vigo Max;2524;REGIO 28;;499;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25273;Begeleider maatschappelijke zorg;;;100A187;School voor Entreeopleidingen;;Parelgrijs;734.0;;2524VL;'S-GRAVENHAGE
494927119;494927119;02-09-2006;M;Riem;;Jyron Jedaiah;2729;REGIO 28;;507;'S-GRAVENHAGE;27GZ;27GZ;;Mbo1 opleidingen;BOL;25253;Manager/ondernemer horeca;;;101A729;School voor Technologie en Engineering;;Boerhaavelaan;27.0;;2729DT;HAARLEM
266804719;266804719;05-11-1999;M;Schaijk;;Sem;2522;REGIO 27;;1737;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;;25347;Vavo Havo voorexamenklas;;;100A182;School voor Gezondheidszorg Den Haag;;Nijkampvaart;111.0;;2522RG;SCHIEDAM
874428958;874428958;29-11-2003;V;Vermeulen;;Joukje Marianne Natasja Darinka;2542;REGIO 29;;484;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BBL;25240;Pedagogisch medewerker kinderopvang;;;100A186;School voor Retail en Logistiek Delft;;Kepplerstraat;127.0;;2542CG;'S-GRAVENHAGE
626339863;626339863;23-05-2003;V;Requena;;Lea;2911;REGIO 28;;1654;WESTLAND;27GZ;27GZ;;Mbo3 opleidingen;BOL;5765;Fietstechnicus;;;100A177;School voor Business support;;Pluimzegge;413.0;;2911HG;ALPHEN AAN DEN RIJN
865799596;865799596;13-04-2003;M;Linden;van;Randy Conrad Jimi;2552;REGIO 28;;1772;DELFT;27GZ;27GZ;;Mbo2 opleidingen;BOL;25264;Begeleider specifieke doelgroepen;;;100A188;VAVO Haaglanden;;Withuysstraat;119.0;;2552CG;POELDIJK
907066633;907066633;04-11-2002;M;Yüngül;;Floor;3024;REGIO 26;;485;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25716;Persoonlijk begeleider maatschappelijke zorg;;;100A172;School voor Zorg en Welzijn Den Haag;;Savelsbos;22.0;;3024PJ;BERKEL EN RODENRIJS
642824432;642824432;05-06-2003;M;Asenova;Al;Jim;2531;REGIO 26;;506;'S-GRAVENHAGE;27GZ;27GZ;;Mbo1 opleidingen;;25594;Sociaal werker;;;100A188;School voor Toerisme en Recreatie;;Alberdingk Thijmstraat;97.0;;2531VD;HOEK VAN HOLLAND
311075140;311075140;26-02-2003;V;Houba;;Sem Julian;2492;REGIO 29;;355;MIDDELBURG;27GZ;27GZ;;Mbo1 opleidingen;BOL;25252;Kapper;;;100A198;School voor Economie en Juridische beroepen;;Van Alphenlaan;122.0;;2492RE;ROTTERDAM
487418089;487418089;26-08-2004;V;Peñafiel Olaya;;Ryan;2571;REGIO 28;;1367;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25260;Fashion;;;100A196;International Hotel and Management School;;Marktweg;48.0;;2571HC;DELFT
390095398;390095398;20-04-2003;V;Azihriu;van;Kewinas;2652;REGIO 28;;454;NOORDWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25416;Mbo- Verpleegkunde;;;100A179;International Hotel and Management School;;Molièreweg;26.0;;2652JD;IJSSELSTEIN UT
610560700;610560700;27-05-2003;M;Santen;Van der;Guus Minne Jan;2572;REGIO 28;;581;SCHIEDAM;27GZ;27GZ;;HAVO/VWO bovenbouw;;25615;Eerste monteur elektrotechnische systemen;;;100A176;School voor Technologie en Engineering;;Muskaat;54.0;;2572RZ;'S-GRAVENHAGE
483841341;483841341;30-09-2005;M;Fens;;Chayelle Leveny;2923;REGIO 29;;597;OOSTSTELLINGWERF;27GZ;27GZ;;Mbo4 opleidingen;BOL;25135;Metselaar;;;100A173;School voor Bouw en Infra;;Linnaeusstraat;107.0;;2923GA;RIJSWIJK ZH
161364022;161364022;03-12-2005;M;Coppens;;Isabel;2595;REGIO 28;;569;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25600;Technicus elektrotechnische installaties woning en utiliteit;;;100A174;School voor Metaal-, Elektro- en installatietechniek;;Gevers Deynootweg;31.0;;2595WS;ZOETERMEER
833225393;833225393;18-08-2006;M;Morabet;;Annyka Louise;2636;REGIO 28;;495;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25689;Ondernemer retail;;;100A195;School voor Economie en Juridische beroepen;;Burg van Duyvendijklaan;23.0;;2636DE;'S-GRAVENHAGE
932702362;932702362;12-02-2001;V;Henebiens;de;Furqaan Zain;2564;REGIO 26;;415;ALPHEN AAN DEN RIJN;27GZ;27GZ;;Mbo4 opleidingen;;25678;Assistent verkoop/retail;;;100A196;School voor Zorg en Welzijn Delft;;Rietschans;460.0;;2564VS;NIEUWERBRUG AAN DEN RIJN
500464788;500464788;07-08-2005;V;Barneveld;;Kaoutar;2553;REGIO 28;;497;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;5209;Sociaal-cultureel werker;;;100A172;VAVO Haaglanden;;Haverkamp;128.0;;2553RK;LEIDSCHENDAM
853930366;853930366;04-12-2003;M;Ramdin;;Yüksel;2641;REGIO 28;;534;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;5329;Verzorgende-IG;;;101A783;International Hotel and Management School;;Herschelstraat;152.0;;2641TZ;RIJSWIJK ZH
245877829;245877829;23-01-2000;M;Hulsbos;Di;Ceydanur;2492;REGIO 18;;1810;MAASSLUIS;27GZ;27GZ;;Mbo4 opleidingen;BOL;25298;Eerste monteur elektrotechnische systemen;;;100A191;School voor Horeca & Facilitaire dienstverlening;;Paul Gabriëlstraat;121.0;;2492VH;LISSE
826230841;826230841;06-07-2005;M;Zimmerman;van der;Marsha Maria;2522;REGIO 26;;1541;KAAG EN BRAASSEM;27GZ;27GZ;;Mbo3 opleidingen;BBL;25663;Servicemedewerker gebouwen;;;100A186;School voor Entreeopleidingen;;Madelieventuin;197.0;;2522JZ;BERKEL EN RODENRIJS
390785447;390785447;15-10-2005;V;Massembo;;Ilona;2541;REGIO 29;;1778;ZOETERMEER;27GZ;27GZ;;VMBO bovenbouw;BBL;25570;Verkoper;;;100A196;School voor Horeca & Facilitaire dienstverlening;;Loosduinseweg;369.0;;2541PR;NOORDWIJKERHOUT
398500963;398500963;10-11-2004;V;Volkering;;Mirkan;2523;REGIO 28;;1707;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25298;Vavo Havo voorexamenklas;;;100A191;International Hotel and Management School;;Hongarenburg;59.0;;2523JV;'S-GRAVENHAGE
768836871;768836871;11-08-2002;V;Mos;El;Boy;2694;REGIO 29;;516;HAARLEM;27GZ;27GZ;;Mbo4 opleidingen;BBL;25264;Logistiek teamleider;;;100A187;School voor Zorg en Welzijn Den Haag;;Louis Couperusstraat;24.0;;2694BE;BERKEL EN RODENRIJS
241693477;241693477;30-04-2003;V;Merhawi Ghirmay Tesfazghi;;Larissa;;REGIO 28;;1768;AMSTELVEEN;27GZ;27GZ;;Mbo2 opleidingen;EX;5121;Beveiliger 3;;;100A186;School voor Horeca & Facilitaire dienstverlening;;Marktweg;811.0;;;MAASDIJK
308752257;308752257;19-04-2004;V;Öztürk;;Mohamed Amien;2235;REGIO 28;;481;'S-GRAVENHAGE;27GZ;27GZ;;Mbo2 opleidingen;BOL;25724;Persoonlijk begeleider maatschappelijke zorg;;;100A175;School voor Entreeopleidingen;;Petronella Voûtestraat;;;2235TJ;'S-GRAVENHAGE
511362954;511362954;24-09-2003;M;Can;van;Baris;2282;REGIO 28;;1720;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;;25678;IT systems and devices;;;100A172;VAVO Haaglanden;;Reaumurstraat;33.0;;2282NS;SCHIEDAM
203988694;203988694;28-03-2004;M;Middendorp;;Merijn Edward;2724;REGIO 28;;480;KATWIJK;27GZ;27GZ;;Mbo4 opleidingen;BOL;25275;Pedagogisch medewerker kinderopvang;;;100A172;School voor Zorg en Welzijn Den Haag;;Loeteweg;;;2724GR;ZOETERMEER
621177474;621177474;14-01-2002;V;Vennegoor;van der;Liza Ine;2532;REGIO 28;;1717;WESTLAND;27GZ;27GZ;;Mbo4 opleidingen;BBL;25787;Basis technicus voertuigen en mobiele werktuigen;;;100A176;School voor Zorg en Welzijn Leiden;;Zwanebloem;110.0;;2532DC;VOORBURG
301633603;301633603;11-07-2004;V;Melaku Abebe Bzayene;;Mcwilliams Awortwi;2717;REGIO 28;;552;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25223;Doktersassistent;;;100A191;School voor Entreeopleidingen;;Chopinstraat;27.0;;2717HG;'S-GRAVENZANDE
871999344;871999344;16-08-2005;M;Sophia;;Rick;2525;REGIO 28;;490;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25324;Basis technicus voertuigen en mobiele werktuigen;;;100A172;School voor Economie en Juridische beroepen;;Fellowshiplaan;233.0;;2525VK;'S-GRAVENHAGE
830800796;830800796;31-10-2001;V;Meiland;;Anthony Müslüm;3281;REGIO 28;;1426;'S-GRAVENHAGE;27GZ;27GZ;;Mbo3 opleidingen;BOL;25286;Medewerker (financiële) administratie;;;100A189;School voor ICT;;Hugo Verrieststraat;52.0;;3281KM;WATERINGEN
104448536;104448536;07-01-2006;V;Kursa;van;Shahed;2531;REGIO 28;;508;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BBL;25444;Mbo- Verpleegkunde;;;100A188;Beauty, Hair & Fashion;;Strijpkade;31.0;;2531RA;LEIDSCHENDAM
691545050;691545050;13-05-2004;M;Berg;;Ilyas Isam;2728;REGIO 28;;1705;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25420;Leidinggevende travel & hospitality;;;100A189;School voor Pedagogische en Sociale beroepen;;Fischerstraat;14.0;;2728BN;DELFT
592422528;592422528;21-02-2006;M;Poetiray;;Jonatan;2525;REGIO 29;;1700;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25348;Timmerman;;;101A729;International Hotel and Management School;;Doedijnstraat;18.0;;2525ET;'S-GRAVENHAGE
527535253;527535253;28-02-2001;V;Şahin;;Suraj Ajaikumar Sunil;2532;REGIO 28;;1669;'S-GRAVENHAGE;27GZ;27GZ;;Mbo4 opleidingen;BOL;25322;Doktersassistent;;;100A196;International Hotel and Management School;;Aagje Dekenlaan;23.0;;2532TS;'S-GRAVENHAGE
772790387;772790387;22-11-2002;M;Jonker;;Joey Corné;2552;REGIO 28;;1727;RIJSWIJK;27GZ;27GZ;;Mbo2 opleidingen;BBL;25342;Pedagogisch medewerker kinderopvang;;;100A189;School voor Economie en Juridische beroepen;;Wolweversgaarde;23.0;;2552KM;'S-GRAVENHAGE
635827990;635827990;07-11-2000;V;Nijlant;;Lisa;2315;REGIO 28;;571;ZOETERMEER;27GZ;27GZ;;Mbo4 opleidingen;BBL;25286;Medewerker sport en recreatie;;;100A191;School voor Zorg en Welzijn Den Haag;;van Ostade;119.0;;2315GJ;ZOETERMEER
425595161;425595161;21-09-2003;M;Brake;ten;Dominique;2287;REGIO 29;;1725;RIJSWIJK;27GZ;27GZ;;HAVO/VWO bovenbouw;BBL;25687;Allround timmerman;;;100A186;School voor Zorg en Welzijn Leiden;;Dieverstraat;151.0;;2287CZ;VOORBURG
